url,titulo,descricao,quantidade_cama,preco_por_noite,estrelas,quantidade_avaliacoes
https://a0.muscache.com/im/pictures/132492b9-864c-4af6-83a8-81994631e324.jpg?im_w=320,Apartamento em João Pessoa,2 Quartos em Apt Spa-Resort com vista,3,235,"4,73",59
https://a0.muscache.com/im/pictures/e21af4f3-1821-4fd5-8c4d-98567210f78f.jpg?im_w=320,Apartamento em Jardim Oceania,Flat a Beira Mar do Bessa,2,186,"4,88",43
https://a0.muscache.com/im/pictures/573b0d8f-9804-4884-87d0-f4b9f9fdfe55.jpg?im_w=320,Apartamento em João Pessoa,Apartamento moderno e confortável no Caribessa,1,173,"4,87",91
https://a0.muscache.com/im/pictures/593cd04e-ef60-4872-a225-b759892d3f40.jpg?im_w=320,Apartamento em João Pessoa,Melhor área do Bessa!,2,278,0,0
https://a0.muscache.com/im/pictures/bceb0871-70cd-4238-adad-09dc5c1032cf.jpg?im_w=320,Aparatamento em João Pessoa,Flat de 38m com vista da praia de manaira!!!,1,159,"4,91",194
https://a0.muscache.com/im/pictures/faaf7151-0ff5-4ab6-af83-85b4e7437630.jpg?im_w=320,Apartamento em Manaíra,"Flat mobiliado, WiFi, praia + piscina, ótimo local",1,130,"4,69",266
https://a0.muscache.com/im/pictures/miso/Hosting-781377599763401310/original/9da3f4ca-5d91-469f-99c2-ddb9caed28ad.jpeg?im_w=320,Apartamento em João Pessoa,Apto novíssimo e aconchegante,4,213,5,3
https://a0.muscache.com/im/pictures/551584d3-ca3d-4731-bad3-2e6c605eb777.jpg?im_w=320,Apartamento em Cabo Branco,Flat a beira mar ,2,138,"4,79",42
https://a0.muscache.com/im/pictures/6d11c2e3-6f28-4054-a086-705eb05dc276.jpg?im_w=320,Apartamento em João Pessoa,Flat em Manaíra Uno Flats 102 Luxuoso 50m da orla,2,152,"4,88",116
https://a0.muscache.com/im/pictures/d01d9a8e-d89f-4054-aa75-91850a26fc37.jpg?im_w=320,Apartamento em Manaíra,Conforto A BEIRA de manaíra.,1,177,"4,72",54
https://a0.muscache.com/im/pictures/miso/Hosting-53973385/original/0c1a48ee-4041-4e6e-994d-a477dfb8e461.png?im_w=320,Apartamento em Manaíra,Flat Luxo completo+vista incrível+Internet rápida,1,153,"4,66",32
https://a0.muscache.com/im/pictures/3c0b7ec8-ea60-47e8-9000-a623028176ff.jpg?im_w=320,Apartamento em João Pessoa,Flat com vista pra praia de Cabo Branco,1,171,5,17
https://a0.muscache.com/im/pictures/miso/Hosting-801049856752161593/original/b74a5f23-ec8b-45dc-8fee-172be93abc3a.jpeg?im_w=320,Apartamento em João Pessoa,Apartamento de Alto Padrao,3,250,0,0
https://a0.muscache.com/im/pictures/0f74a883-fc6b-4f3c-8e9f-1b4681d7c6f5.jpg?im_w=320,Apartamento em João Pessoa,Apto com vista panorâmica para praia do Bessa.,3,239,5,5
https://a0.muscache.com/im/pictures/d8c0e0eb-556b-4930-9a79-2ef303171411.jpg?im_w=320,Apartamento em João Pessoa,"Flat na praia, c/estilo, conforto e espaço lazer",1,152,"4,84",82
https://a0.muscache.com/im/pictures/aac04f7b-fdf6-491f-9c55-159fa81a6d25.jpg?im_w=320,Apartamento em Jardim Oceania,"Estiloso Ape na Praia do Bessa, Ed Atlântico Norte",3,231,"4,81",70
